doc_id,page_no,provider,statement_type,statement_name_raw,logical_subtable_id,table_semantic_key,row_label_raw,row_label_std,col_header_raw,col_header_path,column_semantic_key,period_role_raw,report_date_raw,period_key,value_raw,value_num,value_type,unit_raw,unit_multiplier,source_cell_ref,status,mapping_code,mapping_name,mapping_method,mapping_confidence,issue_flags,fact_id,report_date_norm,period_role_norm,period_source_level,period_reason,duplicate_group_id,kept_fact_id,comparison_status,comparison_reason,source_kind,statement_group_key,source_row_start,source_row_end,source_col_start,source_col_end,mapping_relation_type,mapping_review_required,conflict_id,conflict_decision,unplaced_reason,review_id
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期股权投资,长期股权投资,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:17-17:3-3,blank,ZT_039,长期股权投资,exact,1.0,[],F000032,2022-12-31,期末数,page,page_exact_candidate,DUP00032,F000032,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,17,17,3,3,,False,,,non_numeric_or_blank,
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期债权投资,长期债权投资,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:18-18:2-2,blank,,,candidate_only,0.723333,[],F000033,2022-12-31,期初数,page,page_exact_candidate,DUP00033,F000033,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,18,18,2,2,,False,,,unmapped,REV00007
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期债权投资,长期债权投资,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:18-18:3-3,blank,,,candidate_only,0.723333,[],F000034,2022-12-31,期末数,page,page_exact_candidate,DUP00034,F000034,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,18,18,3,3,,False,,,unmapped,REV00008
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期投资合计,长期投资合计,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:19-19:2-2,blank,,,,,[],F000035,2022-12-31,期初数,page,page_exact_candidate,DUP00035,F000035,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,19,19,2,2,,False,,,unmapped,REV00009
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",长期投资合计,长期投资合计,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:19-19:3-3,blank,,,,,[],F000036,2022-12-31,期末数,page,page_exact_candidate,DUP00036,F000036,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,19,19,3,3,,False,,,unmapped,REV00010
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",固定资产:,固定资产,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:20-20:2-2,blank,,,candidate_only,0.753333,[],F000037,2022-12-31,期初数,page,page_exact_candidate,DUP00037,F000037,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,20,20,2,2,,False,,,unmapped,REV00011
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",固定资产:,固定资产,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,,,blank,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:20-20:3-3,blank,,,candidate_only,0.753333,[],F000038,2022-12-31,期末数,page,page_exact_candidate,DUP00038,F000038,uncomparable,no_comparable_values,json,balance_sheet|资产负债表,20,20,3,3,,False,,,unmapped,REV00012
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",固定资产原价,固定资产原价,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,444，771，829.32,444771829.32,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:21-21:2-2,observed,,,candidate_only,0.708333,[],F000039,2022-12-31,期初数,page,page_exact_candidate,DUP00039,F000039,equal,normalized_values_equal,json,balance_sheet|资产负债表,21,21,2,2,,False,,,unmapped,REV00013
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",固定资产原价,固定资产原价,期末数,"[""期末数""]",期末数,期末数,2022年12月31日,2022-12-31__期末数,444，771，829.32,444771829.32,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:21-21:3-3,observed,,,candidate_only,0.708333,[],F000040,2022-12-31,期末数,page,page_exact_candidate,DUP00040,F000040,equal,normalized_values_equal,json,balance_sheet|资产负债表,21,21,3,3,,False,,,unmapped,REV00014
债务人审计报告-2022年,4,aliyun_table,balance_sheet,资产负债表,0_sub1,"balance_sheet|h:资产,行次,期初数,期末数|r:流动资产,货币资金,短期投资",减:累计折旧,减:累计折旧,期初数,"[""期初数""]",期初数,期初数,2022年12月31日,2022-12-31__期初数,30，079，786.08,30079786.08,amount,元,1.0,债务人审计报告-2022年:4:aliyun_table:0:22-22:2-2,observed,,,candidate_only,1.0,[],F000041,2022-12-31,期初数,page,page_exact_candidate,DUP00041,F000041,equal,normalized_values_equal,json,balance_sheet|资产负债表,22,22,2,2,,False,,,unmapped,REV00015
